Team,Logo
Duke,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Houston,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Auburn,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Tennessee,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Iowa St.,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png
Texas Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
Gonzaga,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png
Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Michigan St.,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Kansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Maryland,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Clemson,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
St. John's,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png
Connecticut,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Purdue,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
Marquette,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png
Texas A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png
Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Baylor,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Wisconsin,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png
BYU,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png
Creighton,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png
Louisville,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png
North Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
Saint Mary's,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png
Missouri,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png
Ole Miss,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png
VCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png
Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Oregon,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
